132245	253	375	3307621966	4.7615	-6.02	1.81888	34.40809	0.71008
132246	253	375	3307621966	5	-6.02	1.81888	34.40757	0.71007
132247	253	375	3307621966	5	-6.02	1.81888	34.40822	0.71008
132248	253	375	3307622026	4.9999	-5.8616	1.81888	34.41029	0.71012
132249	253	375	3307622026	5	-5.8616	1.81888	34.40916	0.7101
132250	253	375	3307622026	5	-5.8616	1.81888	34.41003	0.71012
132251	253	375	3307622026	4.9999	-5.8616	1.81888	34.41149	0.71015
132252	253	375	3307622026	5	-5.8616	1.81888	34.41283	0.71018
132253	253	375	3307622026	5	-5.8616	1.81888	34.41359	0.71019
132254	253	375	3307622026	4.9999	-5.8616	1.81887	34.41617	0.71025
132255	253	375	3307622026	5	-5.8616	1.81887	34.41545	0.71024
132256	253	375	3307622026	5	-5.8616	1.81887	34.41667	0.71026
132257	253	375	3307622026	5	-5.8616	1.81887	34.41582	0.71025
132258	253	375	3307622026	4.9999	-5.8616	1.81887	34.41822	0.7103
132259	253	375	3307622026	5	-5.8616	1.81887	34.41946	0.71032
132260	253	375	3307622086	5	-5.7027	1.81887	34.42027	0.71034
132261	253	375	3307622086	4.9999	-5.7027	1.81887	34.42009	0.71034
132262	253	375	3307622086	5	-5.7027	1.81887	34.42158	0.71037
132263	253	375	3307622086	5	-5.7027	1.81887	34.42136	0.71037
132264	253	375	3307622086	4.9999	-5.7027	1.81887	34.41997	0.71034
132265	253	375	3307622086	5	-5.7027	1.81887	34.41978	0.71033
132266	253	375	3307622086	5	-5.7027	1.81886	34.41961	0.71033
132267	253	375	3307622086	4.9999	-5.7027	1.81886	34.42103	0.71036
132268	253	375	3307622086	5	-5.7027	1.81886	34.41935	0.71033
132269	253	375	3307622086	5.0156	-5.7027	1.81886	34.4201	0.71034
132270	253	375	3307622086	4.9843	-5.7027	1.81886	34.42102	0.71036
132271	253	375	3307622086	5	-5.7027	1.81886	34.4202	0.71034
132272	253	375	3307622146	5	-5.5438	1.81886	34.42137	0.71037
132273	253	375	3307622146	4.9999	-5.5438	1.81886	34.42233	0.71039
132274	253	375	3307622146	5	-5.5438	1.81886	34.42446	0.71044
132275	253	375	3307622146	5	-5.5438	1.81886	34.42674	0.71048
132276	253	375	3307622146	4.9999	-5.5438	1.81886	34.42856	0.71052
132277	253	375	3307622146	5	-5.5438	1.81886	34.42869	0.71053
